Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Travel_Frequently,836,Support,16,5,Other,1,1,4,Female,140,3,5,Sales Representative,3,Married,20094,301410,7,Y,Yes,46,3,3,80,1,27,1,3,16,5,7,6
43,Yes,Non-Travel,1071,Human Resources,14,3,Other,1,2,3,Female,156,1,5,Human Resources,4,Married,20424,326784,2,Y,No,22,2,4,80,1,20,4,4,6,6,2,1
25,Yes,Non-Travel,1374,Research & Development,3,5,Life Sciences,1,3,2,Male,35,1,4,Manager,2,Divorced,45766,45766,7,Y,No,14,2,4,80,4,8,3,1,6,2,1,1
29,No,Travel_Frequently,1415,Support,30,2,Technical Degree,1,4,3,Male,73,2,3,Manufacturing Director,4,Married,16275,227850,8,Y,No,16,4,4,80,3,32,4,2,27,20,14,9
20,Yes,Travel_Rarely,1076,Human Resources,19,3,Medical,1,5,3,Male,42,4,2,Developer,2,Divorced,9297,251019,1,Y,No,14,1,2,80,1,17,6,3,4,1,2,2
46,Yes,Travel_Frequently,1176,Human Resources,23,2,Marketing,1,6,1,Male,48,1,1,Developer,1,Divorced,16602,16602,6,Y,Yes,26,2,2,80,2,7,1,2,6,4,4,2
52,No,Non-Travel,1311,Support,13,3,Other,1,7,2,Female,44,3,3,Sales Representative,4,Married,47669,810373,0,Y,Yes,33,2,1,80,2,25,1,3,4,1,3,2
18,No,Travel_Rarely,319,Human Resources,28,4,Life Sciences,1,8,1,Female,62,3,1,Manufacturing Director,1,Married,16972,322468,4,Y,Yes,28,4,2,80,1,16,4,4,5,4,3,2
41,No,Non-Travel,1074,Sales,32,5,Other,1,9,3,Female,63,2,4,Developer,4,Single,14589,58356,4,Y,Yes,26,1,3,80,3,21,6,4,14,7,13,11
44,No,Travel_Rarely,119,Hardware,30,3,Life Sciences,1,10,2,Male,33,2,4,Healthcare Representative,1,Divorced,45267,633738,6,Y,Yes,30,3,1,80,3,2,6,4,2,1,1,1
34,No,Non-Travel,775,Support,31,3,Marketing,1,11,2,Female,112,2,1,Research Director,3,Single,7030,35150,4,Y,No,15,4,3,80,3,19,4,3,1,1,1,1
55,Yes,Travel_Frequently,1233,Support,1,1,Marketing,1,12,4,Female,198,4,5,Developer,3,Single,8046,88506,3,Y,No,24,3,4,80,2,13,4,2,10,1,5,4
53,Yes,Travel_Frequently,922,Human Resources,3,1,Technical Degree,1,13,4,Female,124,2,4,Research Scientist,3,Divorced,9148,146368,7,Y,Yes,48,1,3,80,4,36,2,2,21,21,6,15
19,Yes,Travel_Frequently,894,Human Resources,40,4,Human Resources,1,14,4,Male,181,4,3,Healthcare Representative,1,Married,39447,355023,4,Y,No,48,1,4,80,2,30,6,4,18,1,12,1
54,Yes,Non-Travel,406,Software,30,3,Technical Degree,1,15,4,Male,183,1,4,Sales Executive,2,Married,27030,702780,4,Y,Yes,8,2,4,80,1,38,4,2,35,25,15,12
41,No,Non-Travel,753,Sales,50,4,Life Sciences,1,16,4,Female,110,2,4,Manufacturing Director,2,Single,44816,403344,8,Y,No,22,2,4,80,2,4,3,1,4,2,4,1
34,Yes,Non-Travel,796,Sales,9,3,Human Resources,1,17,3,Female,97,4,3,Sales Executive,4,Single,50186,501860,3,Y,Yes,1,4,2,80,1,14,2,1,1,1,1,1
27,No,Travel_Frequently,804,Research & Development,30,5,Marketing,1,18,2,Female,143,1,5,Healthcare Representative,2,Divorced,43746,393714,4,Y,No,31,1,1,80,2,14,1,2,13,4,6,1
54,Yes,Travel_Frequently,1048,Hardware,2,5,Marketing,1,19,1,Male,160,4,5,Healthcare Representative,1,Single,38247,1109163,4,Y,Yes,24,1,4,80,3,25,3,4,14,4,8,1
40,Yes,Travel_Frequently,1416,Research & Development,34,1,Human Resources,1,20,2,Female,150,1,1,Research Scientist,3,Single,29721,178326,0,Y,Yes,7,3,4,80,2,5,2,3,5,5,2,4
32,Yes,Travel_Rarely,934,Research & Development,43,3,Other,1,21,2,Female,178,4,2,Manager,3,Single,43790,1094750,1,Y,No,15,1,4,80,4,11,2,2,4,3,4,1
33,No,Travel_Frequently,811,Support,4,3,Marketing,1,22,4,Female,111,1,1,Manager,3,Divorced,26054,651350,2,Y,No,14,3,1,80,4,8,5,2,1,1,1,1
46,Yes,Non-Travel,1100,Software,1,4,Human Resources,1,23,3,Female,48,2,5,Developer,2,Married,44740,671100,0,Y,Yes,30,2,3,80,3,2,5,3,1,1,1,1
43,No,Non-Travel,915,Support,5,3,Marketing,1,24,4,Male,141,4,4,Human Resources,4,Single,30287,878323,1,Y,Yes,37,2,4,80,3,30,2,3,12,11,1,5
19,No,Non-Travel,561,Sales,26,3,Technical Degree,1,25,1,Male,102,1,1,Healthcare Representative,2,Married,22270,556750,7,Y,No,46,2,1,80,3,29,6,1,6,1,4,3
19,Yes,Travel_Rarely,1219,Sales,2,4,Other,1,26,2,Female,108,2,5,Laboratory Technician,1,Married,1774,21288,8,Y,Yes,33,2,2,80,2,35,5,1,30,17,24,6
37,No,Travel_Rarely,1224,Support,7,3,Human Resources,1,27,2,Male,123,3,1,Sales Executive,2,Divorced,32654,391848,4,Y,No,41,3,4,80,4,10,4,4,10,9,6,5
35,No,Travel_Frequently,1266,Software,5,3,Other,1,28,2,Male,65,2,3,Developer,3,Married,9598,211156,8,Y,Yes,8,1,2,80,4,7,5,3,4,2,1,1
53,No,Travel_Frequently,1373,Sales,21,5,Life Sciences,1,29,1,Male,117,2,3,Developer,4,Divorced,33999,101997,8,Y,Yes,0,4,1,80,4,31,4,4,16,14,9,4
58,No,Travel_Frequently,519,Research & Development,33,5,Human Resources,1,30,1,Male,182,4,5,Manufacturing Director,2,Single,20537,287518,8,Y,No,45,1,2,80,1,17,2,3,13,6,11,8
